Date,Close,High,Low,Open,Volume,Change,Return,Volume_Change,Momentum_5,MA_10,MA_50,Volatility,RSI,MACD,MACD_Signal,MACD_Hist,Target
2020-03-13,67.10294342041016,67.5736832780311,61.06302571813862,63.94538830639056,370732000,3.157555114019594,0.1198086501241009,-0.1140859408230857,-2.6699142456054688,68.21965980529785,73.73339073181153,0.0552986899006965,45.241617276910816,-2.6426737036258032,-2.0225443868403143,-0.6201293167854889,0
2020-03-16,58.47035598754883,62.5428290501032,57.93685251654096,58.40758870653268,322423600,0.0627672810161499,-0.1286469265405669,-0.1303054497588555,-5.784023284912109,66.85331726074219,73.45612014770508,0.0616387988558919,36.8470600528576,-3.202934594458128,-2.258622428363877,-0.9443121660942508,1
2020-03-17,61.041290283203125,62.1879532458274,57.55059398806874,59.74978006097213,324056000,1.2915102222309969,0.0439698758838029,0.0050629048245847,-7.840782165527344,65.97316207885743,73.24433319091797,0.0629048228879263,40.39423504325897,-3.4002959799929755,-2.486957138689697,-0.9133388413032786,0
2020-03-18,59.547000885009766,60.35087498179023,57.24159672400037,57.8813182089224,300233600,1.6656826760873642,-0.0244799772622851,-0.0735132199372947,-6.942752838134766,64.61961402893067,72.99124488830566,0.0627207006395802,39.02230983972719,-3.635376607490216,-2.7166410324498007,-0.9187355750404148,0
2020-03-19,59.09074783325195,61.0364594340634,58.566902685612334,59.72081110917334,271857200,-0.6300632759213869,-0.0076620660146911,-0.0945144047834752,-0.8328323364257741,63.457498168945314,72.73582290649414,0.0627263378557893,38.59133040451773,-3.814524047891908,-2.936217635538222,-0.8783064123536857,0
2020-03-20,55.3393440246582,60.79264863512061,55.04000233501268,59.67012006159394,401693200,-4.330776036935738,-0.0634854684726587,0.4775889695031068,-11.763599395751951,62.01414680480957,72.38225303649902,0.0637650912354734,35.15349701567098,-4.210668653474613,-3.191107839125501,-1.0195608143491124,0
2020-03-23,54.163700103759766,55.16069770044325,51.32479637531141,55.05930867623348,336752800,-0.8956085724737122,-0.0212442691835051,-0.1616666650070253,-4.306655883789063,61.005078887939455,71.97415115356445,0.0632973469030046,34.127453846717856,-4.566837091384855,-3.466253689577372,-1.1005834018074832,1
2020-03-24,59.59770202636719,59.79323828764549,56.56084531140466,57.05813597182242,287531200,2.539566054544764,0.1003255300542182,-0.1461653770956025,-1.4435882568359375,60.07664184570312,71.67135803222656,0.0678309573885711,42.4837921170727,-4.360361074936904,-3.645075166649279,-0.7152859082876253,0
2020-03-25,59.26939010620117,62.34245572079971,58.97487753279941,60.53192941719469,303602000,-1.2625393109935177,-0.0055088016652179,0.055892369245494,-0.2776107788085937,59.35460548400879,71.33006401062012,0.0676447299482996,42.13600263720991,-4.175091516366294,-3.7510784365926817,-0.4240130797736121,1
2020-03-26,62.3883171081543,62.4462515869641,59.47216257409066,59.5107880156471,252087200,2.877529092507196,0.0526228968505413,-0.1696787241190769,3.297569274902344,59.60107917785645,71.07176361083984,0.0673916602419844,46.60772502992437,-3.7335546197079736,-3.74757367321574,0.0140190535077664,0
2020-03-27,59.8052978515625,61.767905586340525,59.63872886548187,61.01472792774082,204216800,-1.2094300761783217,-0.0414022909467802,-0.1898961946501052,4.465953826904297,58.87131462097168,70.76825729370117,0.0680041635445617,43.60244877684869,-3.551126340860968,-3.708284206744786,0.1571578658838182,1
2020-03-30,61.51203155517578,61.68342967850782,60.20603760216864,60.529521124828726,167976400,0.9825104303470552,0.0285381691075163,-0.1774604244117036,7.348331451416016,59.17548217773437,70.4801008605957,0.0646670619928244,46.0766017748764,-3.231579828759706,-3.61294333114777,0.3813635023880639,0
2020-03-31,61.38649368286133,63.366001623216455,60.83368129501873,61.70273535835759,197002000,-0.3162416754962649,-0.0020408669514003,0.1727957022534119,1.7887916564941406,59.2100025177002,70.17262351989746,0.0643833821040147,45.91703816471825,-2.954410171443236,-3.4812366992068635,0.5268265277636277,0
2020-04-01,58.15652084350586,60.04188167908633,57.72682288768837,59.50596558883749,176218400,-1.3494447453316312,-0.0526169951332022,-0.1054994365539435,-1.1128692626953125,59.07095451354981,69.81095031738282,0.0640740018370275,41.89687370587823,-2.961247616041966,-3.3772388825738844,0.4159912665319183,1
2020-04-02,59.12696838378906,59.18007745825888,57.18849821621821,58.018926998627165,165934000,1.108041385161897,0.0166868224957024,-0.0583616693829929,-3.2613487243652344,59.07457656860352,69.46324340820313,0.064086170386211,43.49751988025587,-2.855443558129004,-3.2728798176849088,0.4174362595559051,0
2020-04-03,58.2772331237793,59.31285275446095,57.688207859940405,58.61278391804478,129880000,-0.3355507942654796,-0.0143713652709909,-0.2172791591837718,-1.5280647277832031,59.36836547851563,69.09117225646973,0.0640923099594637,42.39618627405335,-2.807793122578275,-3.179862478663582,0.3720693560853072,1
2020-04-06,63.36118316650391,63.51567759082076,60.20121192500367,60.568142628925735,201820400,2.793040537578179,0.0872373270008621,0.5538989836772406,1.849151611328132,60.28811378479004,68.82521110534668,0.0650302943815459,50.47553744682813,-2.3329052494641545,-3.0104710328236965,0.6775657833595421,0
2020-04-07,62.62730407714844,65.58932954032026,62.52350234713508,65.37206051111131,202887200,-2.744756433962877,-0.011582471359901,0.0052858878488002,1.2408103942871094,60.59107398986816,68.58965644836425,0.0628980069419108,49.39846085376771,-1.99279934746334,-2.806936695751625,0.8141373482882859,1
2020-04-08,64.23023223876953,64.54405384793799,63.06184016051964,63.42635444288139,168895200,0.8038777958881411,0.0255947175954835,-0.1675413727430809,6.073711395263672,61.087158203125,68.34406303405761,0.0627358000416108,51.81689702680297,-1.5757557321771074,-2.5607005030367223,0.9849447708596148,1
2020-04-09,64.6937026977539,65.19582595653276,63.89949071917599,64.86510443692977,161834800,-0.1714017391758631,0.0072157680710458,-0.0418034378715321,5.566734313964844,61.31769676208496,68.075708694458,0.058258166647134,52.523446809161264,-1.194082826239821,-2.2873769676773423,1.093294141437521,1
2020-04-13,65.9635009765625,66.07213548949194,64.17228391165321,64.77096719479518,131022800,1.1925337817673238,0.0196278497884259,-0.1903916833709437,7.686267852783203,61.93351707458496,67.83501426696778,0.0518637630306922,54.49237350044422,-0.7801491161419563,-1.9859313973702653,1.205782281228309,1
2020-04-14,69.29486083984375,69.58454794114515,67.12222968123038,67.59296937908287,194994800,1.7018914607608764,0.0505030784291591,0.4882508998433861,5.933677673339837,62.71180000305176,67.73011344909668,0.0431311910836327,59.26531612217699,-0.1812019853346669,-1.6249855149631456,1.443783529628479,0
2020-04-15,68.66239929199219,69.12106449233013,67.7450688913163,68.17235045630129,131154400,0.4900488356908994,-0.0091271061112789,-0.3273953972105923,6.03509521484375,63.43939056396484,67.6166577911377,0.0425209056690811,58.02112966528499,0.2396707940769999,-1.2520542531551164,1.4917250472321164,1
2020-04-16,69.20797729492188,69.57249897577765,68.16028687860133,69.37454631683273,157125200,-0.1665690219108597,0.0079458045240972,0.1980169937112288,4.977745056152344,64.54453620910644,67.46503166198731,0.0418811712124693,58.82416505913607,0.6102050255412053,-0.8796023974158522,1.4898074229570577,0
2020-04-17,68.26891326904297,69.27074378183441,66.83497575491855,68.72516946310567,215250000,-0.4562561940627034,-0.0135687252045698,0.3699266572134831,3.5752105712890625,65.45873069763184,67.28210166931153,0.0420207146483087,56.80974599590023,0.8186446290337415,-0.5399529921259336,1.358597621159675,0
2020-04-20,66.85186767578125,67.99853426971617,66.83255863780644,67.09810395402242,130015200,-0.2462362782411702,-0.0207568207168794,-0.395980487804878,0.88836669921875,66.31619415283203,67.05271949768067,0.0391816268205648,53.8149300640424,0.8595820530593414,-0.2600459830888786,1.11962803614822,0
2020-04-21,64.78546905517578,66.92913374203486,64.07574203406564,66.69497200558625,180991600,-1.90950295041047,-0.0309101105540851,0.3920803106098363,-4.509391784667969,66.45862274169922,66.80330177307128,0.0396467965541815,49.700383426327534,0.7170188109449498,-0.0646330242821129,0.7816518352270627,1
